# Format: module_config	jacob_cov_score	num_params	N of Blocks	total_params	status
['SFF', 'RFF', 'M', 'SFF', 'C']	-20.244345	2.265	9	22247424	success
['I', 'SFF', 'SFF', 'M', 'C']	-20.291674	1.740	11	20995840	success
['C', 'RFF', 'SFF', 'M', 'M']	-20.310103	2.222	9	21858048	success
['I', 'RFF', 'C', 'SFF', 'M']	-20.332708	1.740	11	20995840	success
['C', 'RFF', 'M', 'RFF', 'SFF']	-20.352206	2.265	9	22247424	success
['M', 'RFF', 'RFF', 'SFF', 'C']	-20.361901	2.265	9	22247424	success
['RFF', 'C', 'SFF', 'RFF', 'M']	-20.369257	2.265	9	22247424	success
['I', 'C', 'M', 'RFF', 'SFF']	-20.382364	1.740	11	20995840	success
['I', 'M', 'C', 'M', 'RFF']	-20.387272	1.696	12	22218240	success
['RFF', 'M', 'C', 'SFF', 'SFF']	-20.428603	2.265	9	22247424	success
['M', 'C', 'RFF', 'SFF', 'M']	-20.434381	2.222	9	21858048	success
['I', 'M', 'SFF', 'C', 'RFF']	-20.459379	1.740	11	20995840	success
['C', 'M', 'RFF', 'M', 'SFF']	-20.464102	2.222	9	21858048	success
['RFF', 'RFF', 'SFF', 'C', 'M']	-20.478607	2.265	9	22247424	success
['I', 'M', 'M', 'C', 'RFF']	-20.514330	1.696	12	22218240	success
['SFF', 'C', 'SFF', 'M', 'M']	-20.515509	2.222	9	21858048	success
['M', 'M', 'SFF', 'RFF', 'C']	-20.535397	2.222	9	21858048	success
['RFF', 'M', 'SFF', 'C', 'RFF']	-20.538309	2.265	9	22247424	success
['RFF', 'SFF', 'C', 'M', 'SFF']	-20.541322	2.265	9	22247424	success
['I', 'SFF', 'C', 'M', 'RFF']	-20.542034	1.740	11	20995840	success
['RFF', 'M', 'RFF', 'M', 'C']	-20.549386	2.222	9	21858048	success
['M', 'RFF', 'RFF', 'RFF', 'C']	-20.556618	2.265	9	22247424	success
['RFF', 'M', 'RFF', 'SFF', 'C']	-20.557224	2.265	9	22247424	success
['SFF', 'SFF', 'M', 'C', 'SFF']	-20.561190	2.265	9	22247424	success
['SFF', 'M', 'C', 'SFF', 'SFF']	-20.563068	2.265	9	22247424	success
['SFF', 'SFF', 'M', 'M', 'C']	-20.570522	2.222	9	21858048	success
['RFF', 'RFF', 'RFF', 'C', 'M']	-20.580792	2.265	9	22247424	success
['I', 'C', 'SFF', 'M', 'RFF']	-20.603320	1.740	11	20995840	success
['SFF', 'SFF', 'M', 'RFF', 'C']	-20.612089	2.265	9	22247424	success
['I', 'M', 'M', 'SFF', 'C']	-20.615845	1.696	12	22218240	success
['SFF', 'C', 'M', 'M', 'SFF']	-20.659302	2.222	9	21858048	success
['I', 'C', 'M', 'RFF', 'RFF']	-20.660179	1.740	11	20995840	success
['M', 'SFF', 'SFF', 'C', 'RFF']	-20.661236	2.265	9	22247424	success
['RFF', 'M', 'RFF', 'C', 'RFF']	-20.721049	2.265	9	22247424	success
['I', 'RFF', 'C', 'M', 'SFF']	-20.738686	1.740	11	20995840	success
['I', 'RFF', 'M', 'C', 'SFF']	-20.749514	1.740	11	20995840	success
['I', 'M', 'SFF', 'C', 'M']	-20.750760	1.696	12	22218240	success
['M', 'RFF', 'C', 'SFF', 'M']	-20.772813	2.222	9	21858048	success
['I', 'SFF', 'RFF', 'C', 'M']	-20.774180	1.740	11	20995840	success
['RFF', 'M', 'C', 'SFF', 'M']	-20.790942	2.222	9	21858048	success
['I', 'RFF', 'M', 'M', 'C']	-20.798242	1.696	12	22218240	success
['SFF', 'C', 'M', 'SFF', 'SFF']	-20.799183	2.265	9	22247424	success
['C', 'SFF', 'M', 'M', 'SFF']	-20.815343	2.222	9	21858048	success
['I', 'C', 'SFF', 'RFF', 'M']	-20.817296	1.740	11	20995840	success
['RFF', 'C', 'M', 'RFF', 'M']	-20.821424	2.222	9	21858048	success
['I', 'RFF', 'RFF', 'C', 'M']	-20.822658	1.740	11	20995840	success
['C', 'RFF', 'M', 'SFF', 'M']	-20.833901	2.222	9	21858048	success
['SFF', 'M', 'M', 'C', 'SFF']	-20.836424	2.222	9	21858048	success
['M', 'M', 'RFF', 'C', 'RFF']	-20.858171	2.222	9	21858048	success
['SFF', 'M', 'SFF', 'C', 'M']	-20.869978	2.222	9	21858048	success
['M', 'C', 'SFF', 'RFF', 'M']	-20.889179	2.222	9	21858048	success
['M', 'RFF', 'C', 'M', 'RFF']	-20.925744	2.222	9	21858048	success
['M', 'RFF', 'SFF', 'C', 'RFF']	-20.935188	2.265	9	22247424	success
['C', 'M', 'SFF', 'RFF', 'SFF']	-20.938630	2.265	9	22247424	success
['C', 'RFF', 'RFF', 'M', 'SFF']	-20.965116	2.265	9	22247424	success
['RFF', 'SFF', 'M', 'M', 'C']	-20.975631	2.222	9	21858048	success
['I', 'M', 'RFF', 'C', 'M']	-20.985251	1.696	12	22218240	success
['I', 'RFF', 'M', 'SFF', 'C']	-20.988461	1.740	11	20995840	success
['I', 'C', 'RFF', 'M', 'M']	-21.011876	1.696	12	22218240	success
['M', 'SFF', 'C', 'RFF', 'RFF']	-21.020302	2.265	9	22247424	success
['M', 'M', 'RFF', 'RFF', 'C']	-21.040357	2.222	9	21858048	success
['I', 'M', 'RFF', 'M', 'C']	-21.042950	1.696	12	22218240	success
['C', 'M', 'RFF', 'SFF', 'RFF']	-21.043433	2.265	9	22247424	success
['M', 'M', 'C', 'SFF', 'RFF']	-21.089780	2.222	9	21858048	success
['RFF', 'C', 'M', 'RFF', 'SFF']	-21.105389	2.265	9	22247424	success
['SFF', 'M', 'SFF', 'M', 'C']	-21.110425	2.222	9	21858048	success
['I', 'RFF', 'RFF', 'M', 'C']	-21.118792	1.740	11	20995840	success
['RFF', 'C', 'SFF', 'M', 'RFF']	-21.128678	2.265	9	22247424	success
['M', 'M', 'RFF', 'SFF', 'C']	-21.134285	2.222	9	21858048	success
['M', 'SFF', 'RFF', 'C', 'RFF']	-21.148466	2.265	9	22247424	success
['SFF', 'SFF', 'M', 'C', 'RFF']	-21.154773	2.265	9	22247424	success
['M', 'SFF', 'SFF', 'C', 'SFF']	-21.155333	2.265	9	22247424	success
['M', 'C', 'M', 'SFF', 'RFF']	-21.157120	2.222	9	21858048	success
['SFF', 'C', 'SFF', 'M', 'SFF']	-21.187017	2.265	9	22247424	success
['I', 'C', 'M', 'RFF', 'M']	-21.240217	1.696	12	22218240	success
['SFF', 'SFF', 'M', 'C', 'M']	-21.258603	2.222	9	21858048	success
['I', 'RFF', 'M', 'RFF', 'C']	-21.285097	1.740	11	20995840	success
['RFF', 'SFF', 'M', 'SFF', 'C']	-21.287865	2.265	9	22247424	success
['I', 'M', 'SFF', 'RFF', 'C']	-21.304215	1.740	11	20995840	success
['SFF', 'C', 'SFF', 'M', 'RFF']	-21.357827	2.265	9	22247424	success
['M', 'RFF', 'RFF', 'C', 'M']	-21.364805	2.222	9	21858048	success
['C', 'RFF', 'RFF', 'RFF', 'M']	-21.418492	2.265	9	22247424	success
['I', 'M', 'C', 'RFF', 'SFF']	-21.435502	1.740	11	20995840	success
['C', 'RFF', 'SFF', 'M', 'RFF']	-21.442452	2.265	9	22247424	success
['M', 'RFF', 'RFF', 'C', 'SFF']	-21.453679	2.265	9	22247424	success
['SFF', 'M', 'M', 'SFF', 'C']	-21.456445	2.222	9	21858048	success
['C', 'RFF', 'M', 'M', 'RFF']	-21.460534	2.222	9	21858048	success
['M', 'RFF', 'C', 'RFF', 'SFF']	-21.461304	2.265	9	22247424	success
['SFF', 'C', 'RFF', 'M', 'SFF']	-21.491993	2.265	9	22247424	success
['C', 'SFF', 'RFF', 'SFF', 'M']	-21.497621	2.265	9	22247424	success
['RFF', 'M', 'SFF', 'C', 'SFF']	-21.506003	2.265	9	22247424	success
['I', 'M', 'RFF', 'C', 'SFF']	-21.527756	1.740	11	20995840	success
['C', 'RFF', 'M', 'RFF', 'M']	-21.552171	2.222	9	21858048	success
['M', 'SFF', 'M', 'SFF', 'C']	-21.556142	2.222	9	21858048	success
['M', 'C', 'SFF', 'M', 'RFF']	-21.576101	2.222	9	21858048	success
['M', 'RFF', 'M', 'RFF', 'C']	-21.597589	2.222	9	21858048	success
['C', 'M', 'M', 'SFF', 'RFF']	-21.601408	2.222	9	21858048	success
['RFF', 'SFF', 'M', 'C', 'SFF']	-21.629756	2.265	9	22247424	success
['I', 'M', 'C', 'RFF', 'RFF']	-21.630166	1.740	11	20995840	success
['C', 'RFF', 'SFF', 'SFF', 'M']	-21.631490	2.265	9	22247424	success
['I', 'RFF', 'SFF', 'C', 'M']	-21.635548	1.740	11	20995840	success
['SFF', 'C', 'RFF', 'M', 'M']	-21.636357	2.222	9	21858048	success
['RFF', 'M', 'C', 'RFF', 'M']	-21.638478	2.222	9	21858048	success
['SFF', 'M', 'C', 'SFF', 'RFF']	-21.650058	2.265	9	22247424	success
['I', 'SFF', 'C', 'M', 'SFF']	-21.690322	1.740	11	20995840	success
['C', 'M', 'SFF', 'RFF', 'M']	-21.699558	2.222	9	21858048	success
['RFF', 'M', 'C', 'M', 'RFF']	-21.720205	2.222	9	21858048	success
['SFF', 'C', 'RFF', 'RFF', 'M']	-21.742279	2.265	9	22247424	success
['C', 'SFF', 'RFF', 'M', 'RFF']	-21.761855	2.265	9	22247424	success
['SFF', 'RFF', 'SFF', 'C', 'M']	-21.765273	2.265	9	22247424	success
['RFF', 'M', 'C', 'SFF', 'RFF']	-21.772347	2.265	9	22247424	success
['C', 'SFF', 'M', 'RFF', 'M']	-21.775255	2.222	9	21858048	success
['RFF', 'SFF', 'M', 'C', 'RFF']	-21.783696	2.265	9	22247424	success
['RFF', 'M', 'SFF', 'M', 'C']	-21.797743	2.222	9	21858048	success
['M', 'SFF', 'SFF', 'RFF', 'C']	-21.813937	2.265	9	22247424	success
['I', 'M', 'RFF', 'RFF', 'C']	-21.833264	1.740	11	20995840	success
['RFF', 'C', 'RFF', 'RFF', 'M']	-21.841982	2.265	9	22247424	success
['C', 'RFF', 'SFF', 'RFF', 'M']	-21.842429	2.265	9	22247424	success
['M', 'RFF', 'RFF', 'C', 'RFF']	-21.843980	2.265	9	22247424	success
['C', 'SFF', 'SFF', 'M', 'M']	-21.867882	2.222	9	21858048	success
['C', 'SFF', 'SFF', 'M', 'RFF']	-21.881000	2.265	9	22247424	success
['I', 'C', 'RFF', 'RFF', 'M']	-21.900659	1.740	11	20995840	success
['SFF', 'RFF', 'C', 'RFF', 'M']	-21.922176	2.265	9	22247424	success
['SFF', 'M', 'RFF', 'RFF', 'C']	-21.923722	2.265	9	22247424	success
['C', 'RFF', 'M', 'M', 'SFF']	-21.932977	2.222	9	21858048	success
['I', 'C', 'SFF', 'M', 'M']	-21.963674	1.696	12	22218240	success
['C', 'M', 'SFF', 'M', 'SFF']	-21.998359	2.222	9	21858048	success
['M', 'RFF', 'SFF', 'M', 'C']	-21.998657	2.222	9	21858048	success
['C', 'SFF', 'RFF', 'RFF', 'M']	-22.016834	2.265	9	22247424	success
['C', 'M', 'M', 'RFF', 'RFF']	-22.020078	2.222	9	21858048	success
['I', 'RFF', 'C', 'RFF', 'M']	-22.050881	1.740	11	20995840	success
['SFF', 'C', 'RFF', 'M', 'RFF']	-22.070084	2.265	9	22247424	success
['SFF', 'C', 'M', 'RFF', 'RFF']	-22.072525	2.265	9	22247424	success
['C', 'SFF', 'M', 'SFF', 'RFF']	-22.088431	2.265	9	22247424	success
['I', 'M', 'C', 'SFF', 'SFF']	-22.106849	1.740	11	20995840	success
['RFF', 'RFF', 'C', 'M', 'SFF']	-22.141714	2.265	9	22247424	success
['M', 'M', 'C', 'SFF', 'SFF']	-22.146872	2.222	9	21858048	success
['SFF', 'RFF', 'M', 'M', 'C']	-22.190018	2.222	9	21858048	success
['C', 'SFF', 'RFF', 'M', 'SFF']	-22.198374	2.265	9	22247424	success
['RFF', 'RFF', 'C', 'M', 'RFF']	-22.207842	2.265	9	22247424	success
['M', 'C', 'SFF', 'RFF', 'SFF']	-22.233845	2.265	9	22247424	success
['SFF', 'SFF', 'RFF', 'C', 'M']	-22.235073	2.265	9	22247424	success
['C', 'RFF', 'M', 'RFF', 'RFF']	-22.238712	2.265	9	22247424	success
['SFF', 'SFF', 'RFF', 'M', 'C']	-22.242820	2.265	9	22247424	success
['M', 'RFF', 'C', 'RFF', 'M']	-22.289240	2.222	9	21858048	success
['SFF', 'M', 'M', 'C', 'RFF']	-22.291325	2.222	9	21858048	success
['RFF', 'M', 'M', 'RFF', 'C']	-22.295410	2.222	9	21858048	success
['C', 'RFF', 'RFF', 'M', 'M']	-22.304167	2.222	9	21858048	success
['M', 'SFF', 'RFF', 'C', 'M']	-22.330230	2.222	9	21858048	success
['SFF', 'SFF', 'C', 'M', 'SFF']	-22.387246	2.265	9	22247424	success
['SFF', 'SFF', 'C', 'RFF', 'M']	-22.398282	2.265	9	22247424	success
['I', 'C', 'RFF', 'M', 'SFF']	-22.452420	1.740	11	20995840	success
['I', 'SFF', 'C', 'RFF', 'M']	-22.461901	1.740	11	20995840	success
['SFF', 'M', 'RFF', 'C', 'RFF']	-22.530795	2.265	9	22247424	success
['SFF', 'RFF', 'RFF', 'C', 'M']	-22.551301	2.265	9	22247424	success
['M', 'M', 'RFF', 'C', 'SFF']	-22.561585	2.222	9	21858048	success
['SFF', 'RFF', 'M', 'C', 'M']	-22.570231	2.222	9	21858048	success
['I', 'C', 'M', 'SFF', 'SFF']	-22.571346	1.740	11	20995840	success
['RFF', 'C', 'M', 'RFF', 'RFF']	-22.617212	2.265	9	22247424	success
['SFF', 'C', 'M', 'SFF', 'RFF']	-22.661709	2.265	9	22247424	success
['M', 'SFF', 'M', 'C', 'SFF']	-22.675154	2.222	9	21858048	success
['RFF', 'C', 'M', 'SFF', 'M']	-22.717240	2.222	9	21858048	success
['SFF', 'M', 'RFF', 'C', 'SFF']	-22.724378	2.265	9	22247424	success
['C', 'M', 'SFF', 'M', 'RFF']	-22.794401	2.222	9	21858048	success
['SFF', 'M', 'SFF', 'SFF', 'C']	-22.834813	2.265	9	22247424	success
['I', 'SFF', 'M', 'C', 'M']	-22.844336	1.696	12	22218240	success
['RFF', 'C', 'RFF', 'M', 'M']	-22.864977	2.222	9	21858048	success
['SFF', 'M', 'C', 'SFF', 'M']	-22.873140	2.222	9	21858048	success
['M', 'C', 'M', 'SFF', 'SFF']	-22.938206	2.222	9	21858048	success
['RFF', 'C', 'RFF', 'SFF', 'M']	-22.952783	2.265	9	22247424	success
['SFF', 'M', 'RFF', 'M', 'C']	-22.954706	2.222	9	21858048	success
['M', 'SFF', 'C', 'M', 'RFF']	-22.976824	2.222	9	21858048	success
['SFF', 'RFF', 'M', 'C', 'RFF']	-23.022776	2.265	9	22247424	success
['SFF', 'RFF', 'M', 'C', 'SFF']	-23.082609	2.265	9	22247424	success
['I', 'SFF', 'M', 'C', 'RFF']	-23.115781	1.740	11	20995840	success
['RFF', 'C', 'SFF', 'M', 'M']	-23.128924	2.222	9	21858048	success
['RFF', 'SFF', 'M', 'C', 'M']	-23.133798	2.222	9	21858048	success
['RFF', 'RFF', 'M', 'SFF', 'C']	-23.138069	2.265	9	22247424	success
['SFF', 'C', 'M', 'SFF', 'M']	-23.237074	2.222	9	21858048	success
['RFF', 'RFF', 'M', 'RFF', 'C']	-23.304049	2.265	9	22247424	success
['RFF', 'SFF', 'C', 'M', 'RFF']	-23.319078	2.265	9	22247424	success
['SFF', 'SFF', 'C', 'M', 'M']	-23.340036	2.222	9	21858048	success
['SFF', 'RFF', 'C', 'M', 'RFF']	-23.361915	2.265	9	22247424	success
['RFF', 'M', 'M', 'C', 'SFF']	-23.373466	2.222	9	21858048	success
['RFF', 'M', 'SFF', 'SFF', 'C']	-23.406495	2.265	9	22247424	success
['C', 'M', 'SFF', 'SFF', 'SFF']	-23.410105	2.265	9	22247424	success
['RFF', 'SFF', 'SFF', 'C', 'M']	-23.434633	2.265	9	22247424	success
['M', 'RFF', 'M', 'C', 'SFF']	-23.566431	2.222	9	21858048	success
['RFF', 'C', 'M', 'SFF', 'SFF']	-23.581721	2.265	9	22247424	success
['RFF', 'SFF', 'C', 'M', 'M']	-23.583257	2.222	9	21858048	success
['I', 'M', 'SFF', 'SFF', 'C']	-23.621065	1.740	11	20995840	success
['C', 'RFF', 'M', 'SFF', 'RFF']	-23.649754	2.265	9	22247424	success
['RFF', 'SFF', 'C', 'RFF', 'M']	-23.660547	2.265	9	22247424	success
['RFF', 'RFF', 'C', 'M', 'M']	-23.680584	2.222	9	21858048	success
['M', 'RFF', 'SFF', 'RFF', 'C']	-23.701392	2.265	9	22247424	success
['M', 'C', 'RFF', 'SFF', 'SFF']	-23.707327	2.265	9	22247424	success
['SFF', 'M', 'C', 'RFF', 'M']	-23.730995	2.222	9	21858048	success
['M', 'C', 'RFF', 'M', 'SFF']	-23.759152	2.222	9	21858048	success
['C', 'SFF', 'M', 'RFF', 'SFF']	-23.785904	2.265	9	22247424	success
['I', 'C', 'SFF', 'SFF', 'M']	-23.806207	1.740	11	20995840	success
['M', 'SFF', 'M', 'C', 'RFF']	-23.901272	2.222	9	21858048	success
['I', 'RFF', 'C', 'M', 'RFF']	-23.901640	1.740	11	20995840	success
['RFF', 'C', 'RFF', 'M', 'RFF']	-23.922994	2.265	9	22247424	success
['SFF', 'C', 'SFF', 'RFF', 'M']	-23.930074	2.265	9	22247424	success
['RFF', 'M', 'C', 'RFF', 'RFF']	-23.935999	2.265	9	22247424	success
['M', 'RFF', 'C', 'RFF', 'RFF']	-24.014140	2.265	9	22247424	success
['SFF', 'SFF', 'SFF', 'C', 'M']	-24.035873	2.265	9	22247424	success
['SFF', 'C', 'M', 'M', 'RFF']	-24.043894	2.222	9	21858048	success
['M', 'C', 'M', 'RFF', 'RFF']	-24.085405	2.222	9	21858048	success
['C', 'M', 'M', 'RFF', 'SFF']	-24.091820	2.222	9	21858048	success
['I', 'SFF', 'RFF', 'M', 'C']	-24.131521	1.740	11	20995840	success
['RFF', 'M', 'M', 'C', 'RFF']	-24.250769	2.222	9	21858048	success
['M', 'C', 'RFF', 'RFF', 'RFF']	-24.274270	2.265	9	22247424	success
['RFF', 'C', 'SFF', 'M', 'SFF']	-24.378390	2.265	9	22247424	success
['I', 'C', 'RFF', 'M', 'RFF']	-24.378998	1.740	11	20995840	success
['M', 'SFF', 'RFF', 'M', 'C']	-24.415282	2.222	9	21858048	success
['M', 'RFF', 'SFF', 'SFF', 'C']	-24.474468	2.265	9	22247424	success
['M', 'SFF', 'M', 'RFF', 'C']	-24.485555	2.222	9	21858048	success
['I', 'M', 'C', 'SFF', 'RFF']	-24.542144	1.740	11	20995840	success
['RFF', 'C', 'SFF', 'SFF', 'M']	-24.639317	2.265	9	22247424	success
['M', 'C', 'RFF', 'M', 'RFF']	-24.654229	2.222	9	21858048	success
['RFF', 'SFF', 'M', 'RFF', 'C']	-24.686256	2.265	9	22247424	success
['SFF', 'M', 'C', 'RFF', 'SFF']	-24.705370	2.265	9	22247424	success
['M', 'RFF', 'RFF', 'M', 'C']	-24.730864	2.222	9	21858048	success
['C', 'M', 'SFF', 'SFF', 'RFF']	-24.783412	2.265	9	22247424	success
['RFF', 'C', 'RFF', 'M', 'SFF']	-24.974751	2.265	9	22247424	success
['RFF', 'SFF', 'RFF', 'M', 'C']	-24.991219	2.265	9	22247424	success
['RFF', 'C', 'M', 'M', 'SFF']	-25.054620	2.222	9	21858048	success
['RFF', 'RFF', 'C', 'RFF', 'M']	-25.211419	2.265	9	22247424	success
['I', 'M', 'M', 'RFF', 'C']	-25.239294	1.696	12	22218240	success
['RFF', 'M', 'C', 'M', 'SFF']	-25.243321	2.222	9	21858048	success
['C', 'M', 'M', 'SFF', 'SFF']	-25.285299	2.222	9	21858048	success
['RFF', 'RFF', 'RFF', 'M', 'C']	-25.297692	2.265	9	22247424	success
['C', 'M', 'RFF', 'M', 'RFF']	-25.320223	2.222	9	21858048	success
['C', 'M', 'RFF', 'RFF', 'SFF']	-25.512560	2.265	9	22247424	success
['SFF', 'RFF', 'C', 'M', 'SFF']	-25.841685	2.265	9	22247424	success
['RFF', 'RFF', 'C', 'SFF', 'M']	-25.965228	2.265	9	22247424	success
['C', 'SFF', 'M', 'SFF', 'M']	-26.065190	2.222	9	21858048	success
['M', 'SFF', 'RFF', 'RFF', 'C']	-26.091781	2.265	9	22247424	success
['M', 'C', 'SFF', 'SFF', 'M']	-26.106277	2.222	9	21858048	success
['C', 'RFF', 'M', 'SFF', 'SFF']	-26.120945	2.265	9	22247424	success
['M', 'C', 'SFF', 'SFF', 'SFF']	-26.190826	2.265	9	22247424	success
['RFF', 'M', 'RFF', 'RFF', 'C']	-26.581181	2.265	9	22247424	success
['SFF', 'M', 'C', 'RFF', 'RFF']	-26.618312	2.265	9	22247424	success
['M', 'M', 'SFF', 'SFF', 'C']	-26.644618	2.222	9	21858048	success
['RFF', 'M', 'C', 'RFF', 'SFF']	-26.735278	2.265	9	22247424	success
['M', 'RFF', 'SFF', 'C', 'M']	-26.860641	2.222	9	21858048	success
['C', 'M', 'RFF', 'RFF', 'M']	-26.908122	2.222	9	21858048	success
['M', 'C', 'RFF', 'RFF', 'SFF']	-27.045842	2.265	9	22247424	success
['C', 'SFF', 'SFF', 'M', 'SFF']	-27.065759	2.265	9	22247424	success
['C', 'SFF', 'RFF', 'M', 'M']	-27.547553	2.222	9	21858048	success
['RFF', 'RFF', 'M', 'C', 'RFF']	-27.651295	2.265	9	22247424	success
['C', 'M', 'SFF', 'RFF', 'RFF']	-27.670301	2.265	9	22247424	success
['RFF', 'SFF', 'SFF', 'M', 'C']	-27.685762	2.265	9	22247424	success
['C', 'RFF', 'RFF', 'SFF', 'M']	-27.689911	2.265	9	22247424	success
['SFF', 'RFF', 'C', 'M', 'M']	-27.874148	2.222	9	21858048	success
['M', 'RFF', 'C', 'SFF', 'SFF']	-27.974484	2.265	9	22247424	success
['M', 'C', 'SFF', 'SFF', 'RFF']	-28.174553	2.265	9	22247424	success
['M', 'M', 'SFF', 'C', 'SFF']	-28.442289	2.222	9	21858048	success
['RFF', 'SFF', 'C', 'SFF', 'M']	-28.683033	2.265	9	22247424	success
['M', 'SFF', 'C', 'SFF', 'SFF']	-28.836007	2.265	9	22247424	success
['SFF', 'C', 'RFF', 'SFF', 'M']	-28.868623	2.265	9	22247424	success
['SFF', 'M', 'M', 'RFF', 'C']	-28.999554	2.222	9	21858048	success
['SFF', 'M', 'SFF', 'C', 'RFF']	-29.026267	2.265	9	22247424	success
['M', 'SFF', 'C', 'RFF', 'SFF']	-29.181631	2.265	9	22247424	success
['SFF', 'RFF', 'C', 'SFF', 'M']	-29.337922	2.265	9	22247424	success
['RFF', 'M', 'SFF', 'C', 'M']	-29.603202	2.222	9	21858048	success
['RFF', 'RFF', 'M', 'C', 'M']	-29.778395	2.222	9	21858048	success
['SFF', 'C', 'M', 'RFF', 'SFF']	-30.059309	2.265	9	22247424	success
['SFF', 'M', 'SFF', 'C', 'SFF']	-30.073785	2.265	9	22247424	success
['SFF', 'SFF', 'C', 'M', 'RFF']	-30.405959	2.265	9	22247424	success
['C', 'SFF', 'SFF', 'RFF', 'M']	-30.411013	2.265	9	22247424	success
['M', 'C', 'SFF', 'RFF', 'RFF']	-30.435043	2.265	9	22247424	success
['SFF', 'RFF', 'RFF', 'M', 'C']	-30.446810	2.265	9	22247424	success
['SFF', 'M', 'RFF', 'SFF', 'C']	-30.527201	2.265	9	22247424	success
['RFF', 'C', 'M', 'M', 'RFF']	-30.629352	2.222	9	21858048	success
['M', 'RFF', 'C', 'SFF', 'RFF']	-30.659669	2.265	9	22247424	success
['M', 'SFF', 'C', 'M', 'SFF']	-30.828548	2.222	9	21858048	success
['SFF', 'SFF', 'SFF', 'M', 'C']	-31.587070	2.265	9	22247424	success
['SFF', 'SFF', 'M', 'SFF', 'C']	-31.708984	2.265	9	22247424	success
['C', 'M', 'RFF', 'SFF', 'M']	-32.098391	2.222	9	21858048	success
['SFF', 'RFF', 'SFF', 'M', 'C']	-32.388311	2.265	9	22247424	success
['RFF', 'M', 'SFF', 'RFF', 'C']	-32.537402	2.265	9	22247424	success
['M', 'C', 'M', 'RFF', 'SFF']	-32.565727	2.222	9	21858048	success
['SFF', 'C', 'M', 'RFF', 'M']	-32.727399	2.222	9	21858048	success
['SFF', 'C', 'SFF', 'SFF', 'M']	-32.901045	2.265	9	22247424	success
['M', 'SFF', 'C', 'RFF', 'M']	-33.088089	2.222	9	21858048	success
['RFF', 'SFF', 'RFF', 'C', 'M']	-33.435227	2.265	9	22247424	success
['C', 'SFF', 'M', 'SFF', 'SFF']	-34.312137	2.265	9	22247424	success
['M', 'SFF', 'SFF', 'SFF', 'C']	-34.525528	2.265	9	22247424	success
['M', 'C', 'RFF', 'SFF', 'RFF']	-39.148029	2.265	9	22247424	success
['SFF', 'RFF', 'M', 'RFF', 'C']	-39.387267	2.265	9	22247424	success
['M', 'SFF', 'SFF', 'C', 'M']	-39.686203	2.222	9	21858048	success
['RFF', 'M', 'RFF', 'C', 'SFF']	-40.086113	2.265	9	22247424	success
['C', 'SFF', 'SFF', 'SFF', 'M']	-41.431927	2.265	9	22247424	success
['M', 'RFF', 'M', 'SFF', 'C']	-44.664067	2.222	9	21858048	success
['M', 'SFF', 'RFF', 'SFF', 'C']	-45.782388	2.265	9	22247424	success
['M', 'C', 'RFF', 'RFF', 'M']	-49.007645	2.222	9	21858048	success
['RFF', 'RFF', 'SFF', 'M', 'C']	-49.637908	2.265	9	22247424	success
['SFF', 'M', 'SFF', 'RFF', 'C']	-58.173336	2.265	9	22247424	success
['SFF', 'M', 'RFF', 'RFF', 'M']	-751.405864	2.541	8	22189568	success
['I', 'RFF', 'SFF', 'M', 'SFF']	-825.618298	2.059	10	22449152	success
['RFF', 'M', 'M', 'RFF', 'RFF']	-851.653157	2.541	8	22189568	success
['RFF', 'SFF', 'M', 'RFF', 'M']	-886.333091	2.541	8	22189568	success
['RFF', 'SFF', 'RFF', 'M', 'M']	-888.816684	2.541	8	22189568	success
['RFF', 'SFF', 'SFF', 'M', 'M']	-922.417860	2.541	8	22189568	success
['SFF', 'M', 'RFF', 'M', 'RFF']	-927.103864	2.541	8	22189568	success
['I', 'I', 'M', 'RFF', 'SFF']	-988.628528	1.533	13	21793280	success
['M', 'RFF', 'RFF', 'M', 'RFF']	-989.721492	2.541	8	22189568	success
['I', 'I', 'M', 'RFF', 'M']	-1034.799648	1.490	13	21230848	success
['RFF', 'M', 'SFF', 'RFF', 'M']	-1182.250758	2.541	8	22189568	success
['SFF', 'M', 'SFF', 'RFF', 'M']	-1255.960941	2.541	8	22189568	success
['I', 'M', 'SFF', 'M', 'SFF']	-1258.602732	2.016	10	22016512	success
['I', 'M', 'RFF', 'M', 'RFF']	-1402.651134	2.016	10	22016512	success
['M', 'SFF', 'SFF', 'M', 'RFF']	-1436.058172	2.541	8	22189568	success
['SFF', 'M', 'M', 'RFF', 'SFF']	-1475.259878	2.541	8	22189568	success
['I', 'RFF', 'M', 'SFF', 'RFF']	-1560.210412	2.059	10	22449152	success
['I', 'I', 'RFF', 'RFF', 'M']	-1567.902494	1.533	13	21793280	success
['RFF', 'M', 'RFF', 'RFF', 'M']	-1608.489421	2.541	8	22189568	success
['I', 'I', 'I', 'SFF', 'M']	-1655.626164	1.008	20	22016512	success
['M', 'RFF', 'M', 'SFF', 'RFF']	-1684.892648	2.541	8	22189568	success
['I', 'RFF', 'RFF', 'SFF', 'M']	-1729.524747	2.059	10	22449152	success
['RFF', 'M', 'RFF', 'M', 'SFF']	-1834.471856	2.541	8	22189568	success
['I', 'M', 'RFF', 'RFF', 'M']	-1861.653750	2.016	10	22016512	success
