# Format: module_config	synflow_score	num_params	N of Blocks	total_params	status
['I', 'M', 'C', 'M', 'SFF']	0.002302	1.696	12	22218240	success
['RFF', 'M', 'M', 'SFF', 'C']	0.002302	2.222	9	21858048	success
['RFF', 'M', 'RFF', 'C', 'M']	0.002301	2.222	9	21858048	success
['C', 'M', 'SFF', 'SFF', 'M']	0.002301	2.222	9	21858048	success
['SFF', 'M', 'M', 'SFF', 'C']	0.002301	2.222	9	21858048	success
['I', 'M', 'M', 'C', 'SFF']	0.002300	1.696	12	22218240	success
['I', 'RFF', 'SFF', 'M', 'M']	0.002299	2.016	10	22016512	success
['M', 'C', 'M', 'RFF', 'SFF']	0.002299	2.222	9	21858048	success
['I', 'I', 'RFF', 'RFF', 'M']	0.002299	1.533	13	21793280	success
['SFF', 'C', 'M', 'SFF', 'M']	0.002299	2.222	9	21858048	success
['I', 'I', 'I', 'M', 'RFF']	0.002298	1.008	20	22016512	success
['I', 'I', 'I', 'M', 'C']	0.002298	0.688	29	21831424	success
['I', 'M', 'RFF', 'M', 'C']	0.002298	1.696	12	22218240	success
['SFF', 'M', 'M', 'RFF', 'C']	0.002298	2.222	9	21858048	success
['M', 'C', 'M', 'SFF', 'RFF']	0.002298	2.222	9	21858048	success
['SFF', 'RFF', 'RFF', 'M', 'M']	0.002297	2.541	8	22189568	success
['I', 'I', 'RFF', 'M', 'RFF']	0.002297	1.533	13	21793280	success
['M', 'SFF', 'M', 'C', 'SFF']	0.002297	2.222	9	21858048	success
['I', 'C', 'C', 'RFF', 'M']	0.002297	1.420	14	21747712	success
['I', 'RFF', 'M', 'M', 'C']	0.002297	1.696	12	22218240	success
['M', 'RFF', 'SFF', 'M', 'C']	0.002297	2.222	9	21858048	success
['M', 'M', 'RFF', 'C', 'SFF']	0.002296	2.222	9	21858048	success
['M', 'SFF', 'C', 'M', 'RFF']	0.002296	2.222	9	21858048	success
['SFF', 'SFF', 'C', 'M', 'M']	0.002296	2.222	9	21858048	success
['I', 'I', 'M', 'RFF', 'RFF']	0.002295	1.533	13	21793280	success
['M', 'M', 'SFF', 'RFF', 'C']	0.002295	2.222	9	21858048	success
['M', 'C', 'SFF', 'M', 'RFF']	0.002295	2.222	9	21858048	success
['I', 'C', 'M', 'SFF', 'C']	0.002295	1.420	14	21747712	success
['M', 'RFF', 'C', 'RFF', 'M']	0.002295	2.222	9	21858048	success
['I', 'M', 'C', 'SFF', 'M']	0.002294	1.696	12	22218240	success
['M', 'RFF', 'M', 'RFF', 'SFF']	0.002294	2.541	8	22189568	success
['M', 'M', 'C', 'SFF', 'SFF']	0.002293	2.222	9	21858048	success
['M', 'SFF', 'SFF', 'M', 'RFF']	0.002293	2.541	8	22189568	success
['RFF', 'SFF', 'M', 'SFF', 'M']	0.002293	2.541	8	22189568	success
['C', 'RFF', 'M', 'SFF', 'M']	0.002292	2.222	9	21858048	success
['SFF', 'RFF', 'M', 'M', 'C']	0.002292	2.222	9	21858048	success
['M', 'RFF', 'C', 'SFF', 'C']	0.002292	1.946	10	21320192	success
['I', 'SFF', 'C', 'M', 'M']	0.002291	1.696	12	22218240	success
['M', 'M', 'SFF', 'C', 'SFF']	0.002291	2.222	9	21858048	success
['RFF', 'M', 'M', 'RFF', 'C']	0.002291	2.222	9	21858048	success
['M', 'C', 'M', 'SFF', 'SFF']	0.002291	2.222	9	21858048	success
['RFF', 'M', 'RFF', 'M', 'RFF']	0.002291	2.541	8	22189568	success
['I', 'I', 'I', 'SFF', 'M']	0.002291	1.008	20	22016512	success
['I', 'M', 'RFF', 'C', 'M']	0.002291	1.696	12	22218240	success
['SFF', 'SFF', 'SFF', 'M', 'M']	0.002291	2.541	8	22189568	success
['I', 'M', 'RFF', 'M', 'SFF']	0.002290	2.016	10	22016512	success
['I', 'RFF', 'M', 'M', 'SFF']	0.002290	2.016	10	22016512	success
['I', 'M', 'C', 'C', 'RFF']	0.002290	1.420	14	21747712	success
['I', 'SFF', 'M', 'RFF', 'M']	0.002290	2.016	10	22016512	success
['M', 'SFF', 'M', 'C', 'RFF']	0.002290	2.222	9	21858048	success
['I', 'RFF', 'M', 'M', 'RFF']	0.002290	2.016	10	22016512	success
['RFF', 'RFF', 'C', 'M', 'M']	0.002289	2.222	9	21858048	success
['SFF', 'M', 'C', 'RFF', 'M']	0.002289	2.222	9	21858048	success
['M', 'RFF', 'RFF', 'SFF', 'M']	0.002288	2.541	8	22189568	success
['I', 'C', 'RFF', 'M', 'C']	0.002288	1.420	14	21747712	success
['C', 'M', 'M', 'SFF', 'SFF']	0.002288	2.222	9	21858048	success
['I', 'M', 'SFF', 'M', 'C']	0.002288	1.696	12	22218240	success
['SFF', 'M', 'M', 'C', 'RFF']	0.002288	2.222	9	21858048	success
['RFF', 'M', 'SFF', 'C', 'M']	0.002288	2.222	9	21858048	success
['RFF', 'RFF', 'M', 'RFF', 'M']	0.002287	2.541	8	22189568	success
['C', 'M', 'M', 'SFF', 'RFF']	0.002287	2.222	9	21858048	success
['I', 'M', 'RFF', 'M', 'RFF']	0.002287	2.016	10	22016512	success
['I', 'I', 'SFF', 'SFF', 'M']	0.002286	1.533	13	21793280	success
['M', 'SFF', 'SFF', 'C', 'M']	0.002286	2.222	9	21858048	success
['I', 'C', 'SFF', 'M', 'M']	0.002286	1.696	12	22218240	success
['M', 'RFF', 'SFF', 'RFF', 'C']	0.002286	2.265	9	22247424	success
['RFF', 'M', 'C', 'M', 'RFF']	0.002285	2.222	9	21858048	success
['I', 'RFF', 'M', 'SFF', 'M']	0.002285	2.016	10	22016512	success
['M', 'RFF', 'M', 'RFF', 'C']	0.002285	2.222	9	21858048	success
['I', 'C', 'M', 'RFF', 'M']	0.002285	1.696	12	22218240	success
['C', 'M', 'SFF', 'M', 'RFF']	0.002285	2.222	9	21858048	success
['M', 'M', 'C', 'RFF', 'RFF']	0.002284	2.222	9	21858048	success
['I', 'I', 'SFF', 'RFF', 'M']	0.002284	1.533	13	21793280	success
['I', 'I', 'M', 'SFF', 'RFF']	0.002284	1.533	13	21793280	success
['I', 'C', 'SFF', 'C', 'M']	0.002284	1.420	14	21747712	success
['I', 'M', 'C', 'RFF', 'C']	0.002284	1.420	14	21747712	success
['C', 'SFF', 'M', 'M', 'RFF']	0.002283	2.222	9	21858048	success
['SFF', 'RFF', 'M', 'M', 'SFF']	0.002283	2.541	8	22189568	success
['SFF', 'RFF', 'M', 'RFF', 'M']	0.002282	2.541	8	22189568	success
['M', 'SFF', 'M', 'RFF', 'C']	0.002282	2.222	9	21858048	success
['RFF', 'M', 'SFF', 'M', 'RFF']	0.002282	2.541	8	22189568	success
['I', 'SFF', 'M', 'C', 'M']	0.002282	1.696	12	22218240	success
['I', 'M', 'RFF', 'RFF', 'M']	0.002282	2.016	10	22016512	success
['I', 'M', 'RFF', 'C', 'C']	0.002282	1.420	14	21747712	success
['M', 'RFF', 'M', 'SFF', 'RFF']	0.002282	2.541	8	22189568	success
['M', 'RFF', 'M', 'RFF', 'RFF']	0.002281	2.541	8	22189568	success
['M', 'SFF', 'RFF', 'M', 'SFF']	0.002281	2.541	8	22189568	success
['I', 'C', 'M', 'SFF', 'M']	0.002281	1.696	12	22218240	success
['SFF', 'M', 'M', 'RFF', 'SFF']	0.002281	2.541	8	22189568	success
['M', 'M', 'C', 'RFF', 'SFF']	0.002281	2.222	9	21858048	success
['M', 'RFF', 'SFF', 'C', 'M']	0.002280	2.222	9	21858048	success
['C', 'RFF', 'M', 'RFF', 'M']	0.002280	2.222	9	21858048	success
['I', 'RFF', 'M', 'RFF', 'M']	0.002280	2.016	10	22016512	success
['RFF', 'C', 'SFF', 'RFF', 'M']	0.002280	2.265	9	22247424	success
['I', 'SFF', 'M', 'SFF', 'M']	0.002279	2.016	10	22016512	success
['RFF', 'RFF', 'SFF', 'C', 'M']	0.002279	2.265	9	22247424	success
['M', 'RFF', 'SFF', 'RFF', 'M']	0.002278	2.541	8	22189568	success
['SFF', 'RFF', 'M', 'M', 'RFF']	0.002278	2.541	8	22189568	success
['I', 'M', 'SFF', 'SFF', 'M']	0.002278	2.016	10	22016512	success
['I', 'C', 'M', 'M', 'RFF']	0.002277	1.696	12	22218240	success
['I', 'RFF', 'C', 'M', 'M']	0.002277	1.696	12	22218240	success
['SFF', 'C', 'RFF', 'M', 'SFF']	0.002277	2.265	9	22247424	success
['I', 'RFF', 'RFF', 'M', 'M']	0.002277	2.016	10	22016512	success
['RFF', 'C', 'RFF', 'M', 'SFF']	0.002277	2.265	9	22247424	success
['RFF', 'M', 'M', 'SFF', 'RFF']	0.002277	2.541	8	22189568	success
['I', 'SFF', 'SFF', 'M', 'M']	0.002276	2.016	10	22016512	success
['RFF', 'C', 'RFF', 'M', 'M']	0.002276	2.222	9	21858048	success
['I', 'M', 'SFF', 'M', 'SFF']	0.002276	2.016	10	22016512	success
['I', 'M', 'RFF', 'SFF', 'M']	0.002275	2.016	10	22016512	success
['I', 'M', 'M', 'C', 'RFF']	0.002275	1.696	12	22218240	success
['RFF', 'SFF', 'RFF', 'M', 'M']	0.002275	2.541	8	22189568	success
['RFF', 'RFF', 'RFF', 'C', 'M']	0.002275	2.265	9	22247424	success
['M', 'M', 'RFF', 'RFF', 'RFF']	0.002275	2.541	8	22189568	success
['I', 'C', 'M', 'C', 'M']	0.002274	1.377	15	22520832	success
['M', 'SFF', 'M', 'RFF', 'SFF']	0.002274	2.541	8	22189568	success
['SFF', 'M', 'M', 'RFF', 'RFF']	0.002274	2.541	8	22189568	success
['M', 'SFF', 'M', 'SFF', 'RFF']	0.002274	2.541	8	22189568	success
['C', 'RFF', 'M', 'RFF', 'SFF']	0.002274	2.265	9	22247424	success
['SFF', 'SFF', 'RFF', 'M', 'M']	0.002274	2.541	8	22189568	success
['RFF', 'SFF', 'SFF', 'M', 'M']	0.002273	2.541	8	22189568	success
['I', 'M', 'M', 'SFF', 'C']	0.002273	1.696	12	22218240	success
['I', 'M', 'SFF', 'RFF', 'M']	0.002273	2.016	10	22016512	success
['I', 'SFF', 'M', 'M', 'C']	0.002272	1.696	12	22218240	success
['I', 'M', 'C', 'C', 'SFF']	0.002272	1.420	14	21747712	success
['I', 'M', 'SFF', 'C', 'C']	0.002271	1.420	14	21747712	success
['C', 'M', 'M', 'RFF', 'SFF']	0.002271	2.222	9	21858048	success
['SFF', 'RFF', 'C', 'M', 'SFF']	0.002271	2.265	9	22247424	success
['SFF', 'SFF', 'RFF', 'M', 'C']	0.002271	2.265	9	22247424	success
['SFF', 'C', 'SFF', 'M', 'M']	0.002271	2.222	9	21858048	success
['C', 'SFF', 'M', 'M', 'SFF']	0.002271	2.222	9	21858048	success
['RFF', 'M', 'SFF', 'SFF', 'M']	0.002271	2.541	8	22189568	success
['C', 'RFF', 'M', 'M', 'SFF']	0.002271	2.222	9	21858048	success
['SFF', 'SFF', 'M', 'M', 'RFF']	0.002270	2.541	8	22189568	success
['I', 'M', 'SFF', 'C', 'M']	0.002270	1.696	12	22218240	success
['M', 'C', 'C', 'C', 'M']	0.002270	1.583	13	22448896	success
['SFF', 'C', 'M', 'SFF', 'RFF']	0.002269	2.265	9	22247424	success
['M', 'SFF', 'C', 'RFF', 'M']	0.002269	2.222	9	21858048	success
['I', 'I', 'I', 'M', 'SFF']	0.002269	1.008	20	22016512	success
['I', 'M', 'M', 'SFF', 'SFF']	0.002269	2.016	10	22016512	success
['M', 'RFF', 'SFF', 'M', 'SFF']	0.002268	2.541	8	22189568	success
['I', 'M', 'M', 'RFF', 'SFF']	0.002268	2.016	10	22016512	success
['SFF', 'M', 'C', 'SFF', 'SFF']	0.002268	2.265	9	22247424	success
['I', 'C', 'M', 'M', 'SFF']	0.002268	1.696	12	22218240	success
['M', 'SFF', 'RFF', 'M', 'RFF']	0.002268	2.541	8	22189568	success
['I', 'M', 'C', 'RFF', 'M']	0.002268	1.696	12	22218240	success
['SFF', 'SFF', 'M', 'RFF', 'M']	0.002267	2.541	8	22189568	success
['M', 'RFF', 'RFF', 'M', 'RFF']	0.002267	2.541	8	22189568	success
['RFF', 'RFF', 'C', 'M', 'RFF']	0.002267	2.265	9	22247424	success
['M', 'SFF', 'C', 'SFF', 'SFF']	0.002267	2.265	9	22247424	success
['M', 'SFF', 'SFF', 'SFF', 'M']	0.002267	2.541	8	22189568	success
['M', 'RFF', 'RFF', 'RFF', 'M']	0.002266	2.541	8	22189568	success
['M', 'M', 'SFF', 'RFF', 'RFF']	0.002266	2.541	8	22189568	success
['C', 'M', 'SFF', 'SFF', 'RFF']	0.002266	2.265	9	22247424	success
['I', 'SFF', 'M', 'RFF', 'SFF']	0.002266	2.059	10	22449152	success
['M', 'SFF', 'M', 'RFF', 'RFF']	0.002265	2.541	8	22189568	success
['SFF', 'M', 'SFF', 'RFF', 'C']	0.002265	2.265	9	22247424	success
['RFF', 'SFF', 'M', 'M', 'RFF']	0.002265	2.541	8	22189568	success
['SFF', 'C', 'M', 'RFF', 'SFF']	0.002265	2.265	9	22247424	success
['RFF', 'M', 'SFF', 'RFF', 'M']	0.002265	2.541	8	22189568	success
['RFF', 'M', 'C', 'SFF', 'SFF']	0.002264	2.265	9	22247424	success
['M', 'SFF', 'C', 'RFF', 'SFF']	0.002264	2.265	9	22247424	success
['M', 'M', 'SFF', 'RFF', 'SFF']	0.002263	2.541	8	22189568	success
['C', 'M', 'M', 'C', 'C']	0.002263	1.583	13	22448896	success
['RFF', 'RFF', 'M', 'SFF', 'M']	0.002263	2.541	8	22189568	success
['M', 'SFF', 'SFF', 'M', 'SFF']	0.002262	2.541	8	22189568	success
['RFF', 'SFF', 'C', 'SFF', 'M']	0.002262	2.265	9	22247424	success
['SFF', 'C', 'M', 'SFF', 'SFF']	0.002262	2.265	9	22247424	success
['I', 'RFF', 'RFF', 'RFF', 'M']	0.002262	2.059	10	22449152	success
['RFF', 'RFF', 'M', 'M', 'RFF']	0.002261	2.541	8	22189568	success
['M', 'SFF', 'SFF', 'C', 'RFF']	0.002261	2.265	9	22247424	success
['SFF', 'M', 'M', 'SFF', 'RFF']	0.002261	2.541	8	22189568	success
['C', 'RFF', 'SFF', 'M', 'SFF']	0.002261	2.265	9	22247424	success
['SFF', 'M', 'RFF', 'RFF', 'M']	0.002261	2.541	8	22189568	success
['M', 'M', 'SFF', 'SFF', 'C']	0.002261	2.222	9	21858048	success
['RFF', 'M', 'RFF', 'RFF', 'M']	0.002261	2.541	8	22189568	success
['C', 'SFF', 'M', 'RFF', 'SFF']	0.002260	2.265	9	22247424	success
['RFF', 'M', 'RFF', 'C', 'RFF']	0.002260	2.265	9	22247424	success
['RFF', 'RFF', 'C', 'RFF', 'M']	0.002260	2.265	9	22247424	success
['SFF', 'SFF', 'M', 'SFF', 'C']	0.002260	2.265	9	22247424	success
['SFF', 'SFF', 'M', 'C', 'RFF']	0.002260	2.265	9	22247424	success
['C', 'RFF', 'SFF', 'SFF', 'M']	0.002260	2.265	9	22247424	success
['I', 'RFF', 'M', 'SFF', 'RFF']	0.002259	2.059	10	22449152	success
['I', 'M', 'C', 'M', 'RFF']	0.002259	1.696	12	22218240	success
['SFF', 'M', 'RFF', 'M', 'RFF']	0.002259	2.541	8	22189568	success
['RFF', 'RFF', 'SFF', 'M', 'M']	0.002259	2.541	8	22189568	success
['M', 'SFF', 'RFF', 'RFF', 'C']	0.002259	2.265	9	22247424	success
['RFF', 'C', 'RFF', 'RFF', 'M']	0.002259	2.265	9	22247424	success
['M', 'SFF', 'M', 'SFF', 'SFF']	0.002259	2.541	8	22189568	success
['C', 'SFF', 'SFF', 'RFF', 'M']	0.002259	2.265	9	22247424	success
['SFF', 'RFF', 'M', 'SFF', 'M']	0.002259	2.541	8	22189568	success
['M', 'SFF', 'SFF', 'RFF', 'M']	0.002259	2.541	8	22189568	success
['SFF', 'M', 'RFF', 'SFF', 'C']	0.002259	2.265	9	22247424	success
['I', 'M', 'M', 'C', 'C']	0.002258	1.377	15	22520832	success
['RFF', 'RFF', 'M', 'SFF', 'C']	0.002258	2.265	9	22247424	success
['SFF', 'M', 'M', 'SFF', 'SFF']	0.002258	2.541	8	22189568	success
['I', 'M', 'M', 'RFF', 'C']	0.002258	1.696	12	22218240	success
['SFF', 'SFF', 'SFF', 'M', 'C']	0.002258	2.265	9	22247424	success
['C', 'M', 'C', 'C', 'M']	0.002258	1.583	13	22448896	success
['RFF', 'C', 'M', 'RFF', 'SFF']	0.002258	2.265	9	22247424	success
['M', 'SFF', 'SFF', 'SFF', 'C']	0.002257	2.265	9	22247424	success
['M', 'C', 'SFF', 'RFF', 'SFF']	0.002257	2.265	9	22247424	success
['RFF', 'M', 'M', 'SFF', 'SFF']	0.002257	2.541	8	22189568	success
['SFF', 'C', 'SFF', 'RFF', 'M']	0.002257	2.265	9	22247424	success
['I', 'M', 'RFF', 'SFF', 'RFF']	0.002257	2.059	10	22449152	success
['RFF', 'RFF', 'M', 'RFF', 'C']	0.002257	2.265	9	22247424	success
['C', 'M', 'RFF', 'RFF', 'SFF']	0.002256	2.265	9	22247424	success
['RFF', 'M', 'SFF', 'SFF', 'C']	0.002256	2.265	9	22247424	success
['SFF', 'RFF', 'SFF', 'M', 'M']	0.002256	2.541	8	22189568	success
['SFF', 'M', 'SFF', 'RFF', 'M']	0.002256	2.541	8	22189568	success
['RFF', 'SFF', 'M', 'RFF', 'M']	0.002256	2.541	8	22189568	success
['M', 'RFF', 'M', 'SFF', 'SFF']	0.002256	2.541	8	22189568	success
['C', 'SFF', 'SFF', 'M', 'RFF']	0.002256	2.265	9	22247424	success
['RFF', 'SFF', 'C', 'RFF', 'M']	0.002256	2.265	9	22247424	success
['RFF', 'M', 'M', 'RFF', 'SFF']	0.002256	2.541	8	22189568	success
['M', 'SFF', 'C', 'RFF', 'RFF']	0.002256	2.265	9	22247424	success
['RFF', 'M', 'M', 'RFF', 'RFF']	0.002256	2.541	8	22189568	success
['RFF', 'C', 'RFF', 'SFF', 'M']	0.002255	2.265	9	22247424	success
['RFF', 'RFF', 'RFF', 'M', 'C']	0.002255	2.265	9	22247424	success
['C', 'RFF', 'RFF', 'SFF', 'M']	0.002255	2.265	9	22247424	success
['SFF', 'C', 'RFF', 'SFF', 'M']	0.002255	2.265	9	22247424	success
['C', 'M', 'C', 'M', 'C']	0.002255	1.583	13	22448896	success
['SFF', 'SFF', 'C', 'M', 'RFF']	0.002255	2.265	9	22247424	success
['M', 'RFF', 'C', 'SFF', 'RFF']	0.002255	2.265	9	22247424	success
['SFF', 'M', 'C', 'SFF', 'RFF']	0.002254	2.265	9	22247424	success
['SFF', 'RFF', 'M', 'C', 'RFF']	0.002254	2.265	9	22247424	success
['RFF', 'M', 'RFF', 'SFF', 'M']	0.002254	2.541	8	22189568	success
['SFF', 'M', 'C', 'RFF', 'RFF']	0.002253	2.265	9	22247424	success
['M', 'SFF', 'RFF', 'SFF', 'C']	0.002253	2.265	9	22247424	success
['M', 'SFF', 'RFF', 'SFF', 'M']	0.002253	2.541	8	22189568	success
['SFF', 'RFF', 'SFF', 'M', 'C']	0.002253	2.265	9	22247424	success
['I', 'M', 'C', 'C', 'M']	0.002253	1.377	15	22520832	success
['RFF', 'RFF', 'C', 'SFF', 'M']	0.002253	2.265	9	22247424	success
['SFF', 'SFF', 'C', 'SFF', 'M']	0.002253	2.265	9	22247424	success
['I', 'I', 'RFF', 'SFF', 'M']	0.002252	1.533	13	21793280	success
['C', 'SFF', 'M', 'RFF', 'RFF']	0.002252	2.265	9	22247424	success
['M', 'C', 'RFF', 'SFF', 'RFF']	0.002252	2.265	9	22247424	success
['RFF', 'M', 'SFF', 'C', 'SFF']	0.002252	2.265	9	22247424	success
['SFF', 'M', 'SFF', 'SFF', 'M']	0.002252	2.541	8	22189568	success
['M', 'RFF', 'SFF', 'C', 'SFF']	0.002251	2.265	9	22247424	success
['RFF', 'M', 'SFF', 'M', 'SFF']	0.002251	2.541	8	22189568	success
['C', 'SFF', 'RFF', 'RFF', 'M']	0.002251	2.265	9	22247424	success
['C', 'SFF', 'M', 'SFF', 'SFF']	0.002251	2.265	9	22247424	success
['C', 'RFF', 'SFF', 'M', 'RFF']	0.002251	2.265	9	22247424	success
['M', 'M', 'RFF', 'SFF', 'SFF']	0.002250	2.541	8	22189568	success
['RFF', 'SFF', 'SFF', 'M', 'C']	0.002250	2.265	9	22247424	success
['M', 'M', 'SFF', 'SFF', 'SFF']	0.002250	2.541	8	22189568	success
['M', 'RFF', 'RFF', 'M', 'SFF']	0.002250	2.541	8	22189568	success
['M', 'SFF', 'RFF', 'C', 'SFF']	0.002250	2.265	9	22247424	success
['RFF', 'C', 'M', 'SFF', 'SFF']	0.002249	2.265	9	22247424	success
['C', 'C', 'M', 'C', 'M']	0.002249	1.583	13	22448896	success
['SFF', 'SFF', 'M', 'M', 'SFF']	0.002249	2.541	8	22189568	success
['I', 'RFF', 'M', 'C', 'M']	0.002249	1.696	12	22218240	success
['C', 'RFF', 'M', 'SFF', 'SFF']	0.002249	2.265	9	22247424	success
['SFF', 'M', 'RFF', 'SFF', 'M']	0.002249	2.541	8	22189568	success
['RFF', 'SFF', 'SFF', 'C', 'M']	0.002248	2.265	9	22247424	success
['M', 'RFF', 'C', 'SFF', 'SFF']	0.002248	2.265	9	22247424	success
['RFF', 'SFF', 'RFF', 'C', 'M']	0.002248	2.265	9	22247424	success
['M', 'RFF', 'SFF', 'SFF', 'M']	0.002248	2.541	8	22189568	success
['M', 'M', 'RFF', 'SFF', 'RFF']	0.002248	2.541	8	22189568	success
['I', 'SFF', 'M', 'SFF', 'SFF']	0.002248	2.059	10	22449152	success
['RFF', 'C', 'M', 'SFF', 'RFF']	0.002247	2.265	9	22247424	success
['RFF', 'M', 'RFF', 'RFF', 'C']	0.002247	2.265	9	22247424	success
['I', 'M', 'RFF', 'SFF', 'SFF']	0.002247	2.059	10	22449152	success
['I', 'RFF', 'M', 'SFF', 'SFF']	0.002247	2.059	10	22449152	success
['RFF', 'M', 'RFF', 'M', 'SFF']	0.002247	2.541	8	22189568	success
['C', 'SFF', 'M', 'SFF', 'RFF']	0.002247	2.265	9	22247424	success
['SFF', 'RFF', 'RFF', 'C', 'M']	0.002247	2.265	9	22247424	success
['I', 'SFF', 'SFF', 'M', 'RFF']	0.002247	2.059	10	22449152	success
['M', 'C', 'RFF', 'SFF', 'SFF']	0.002247	2.265	9	22247424	success
['RFF', 'SFF', 'M', 'M', 'SFF']	0.002246	2.541	8	22189568	success
['SFF', 'SFF', 'M', 'C', 'SFF']	0.002246	2.265	9	22247424	success
['M', 'RFF', 'C', 'RFF', 'SFF']	0.002246	2.265	9	22247424	success
['C', 'SFF', 'SFF', 'SFF', 'M']	0.002245	2.265	9	22247424	success
['SFF', 'M', 'RFF', 'M', 'SFF']	0.002245	2.541	8	22189568	success
['SFF', 'C', 'SFF', 'M', 'SFF']	0.002245	2.265	9	22247424	success
['M', 'SFF', 'RFF', 'RFF', 'M']	0.002245	2.541	8	22189568	success
['SFF', 'SFF', 'M', 'SFF', 'M']	0.002245	2.541	8	22189568	success
['M', 'RFF', 'RFF', 'RFF', 'C']	0.002244	2.265	9	22247424	success
['I', 'RFF', 'SFF', 'SFF', 'M']	0.002244	2.059	10	22449152	success
['SFF', 'M', 'SFF', 'SFF', 'C']	0.002244	2.265	9	22247424	success
['SFF', 'M', 'SFF', 'C', 'SFF']	0.002244	2.265	9	22247424	success
['I', 'M', 'C', 'M', 'C']	0.002244	1.377	15	22520832	success
['I', 'C', 'C', 'M', 'M']	0.002244	1.377	15	22520832	success
['M', 'RFF', 'RFF', 'C', 'SFF']	0.002244	2.265	9	22247424	success
['C', 'C', 'M', 'M', 'C']	0.002244	1.583	13	22448896	success
['RFF', 'M', 'SFF', 'RFF', 'C']	0.002243	2.265	9	22247424	success
['M', 'C', 'SFF', 'RFF', 'RFF']	0.002243	2.265	9	22247424	success
['I', 'SFF', 'M', 'RFF', 'RFF']	0.002243	2.059	10	22449152	success
['M', 'C', 'SFF', 'SFF', 'RFF']	0.002242	2.265	9	22247424	success
['M', 'RFF', 'RFF', 'C', 'RFF']	0.002242	2.265	9	22247424	success
['SFF', 'M', 'RFF', 'C', 'RFF']	0.002242	2.265	9	22247424	success
['SFF', 'M', 'C', 'M', 'C']	0.002242	1.902	11	22792448	success
['M', 'C', 'SFF', 'SFF', 'SFF']	0.002242	2.265	9	22247424	success
['M', 'RFF', 'C', 'RFF', 'RFF']	0.002242	2.265	9	22247424	success
['I', 'RFF', 'M', 'RFF', 'RFF']	0.002242	2.059	10	22449152	success
['RFF', 'RFF', 'SFF', 'M', 'C']	0.002241	2.265	9	22247424	success
['C', 'C', 'C', 'M', 'M']	0.002241	1.583	13	22448896	success
['I', 'RFF', 'RFF', 'SFF', 'M']	0.002241	2.059	10	22449152	success
['C', 'RFF', 'M', 'SFF', 'RFF']	0.002241	2.265	9	22247424	success
['RFF', 'SFF', 'M', 'C', 'RFF']	0.002241	2.265	9	22247424	success
['RFF', 'M', 'RFF', 'SFF', 'C']	0.002241	2.265	9	22247424	success
['M', 'SFF', 'SFF', 'C', 'SFF']	0.002241	2.265	9	22247424	success
['RFF', 'C', 'M', 'RFF', 'RFF']	0.002240	2.265	9	22247424	success
['M', 'SFF', 'RFF', 'C', 'RFF']	0.002240	2.265	9	22247424	success
['SFF', 'RFF', 'M', 'RFF', 'C']	0.002239	2.265	9	22247424	success
['RFF', 'SFF', 'M', 'RFF', 'C']	0.002239	2.265	9	22247424	success
['SFF', 'M', 'SFF', 'M', 'RFF']	0.002239	2.541	8	22189568	success
['RFF', 'SFF', 'RFF', 'M', 'C']	0.002239	2.265	9	22247424	success
['RFF', 'C', 'SFF', 'SFF', 'M']	0.002239	2.265	9	22247424	success
['C', 'M', 'SFF', 'RFF', 'SFF']	0.002239	2.265	9	22247424	success
['SFF', 'M', 'SFF', 'C', 'RFF']	0.002238	2.265	9	22247424	success
['RFF', 'SFF', 'C', 'M', 'SFF']	0.002238	2.265	9	22247424	success
['M', 'M', 'C', 'C', 'SFF']	0.002238	1.902	11	22792448	success
['SFF', 'SFF', 'C', 'RFF', 'M']	0.002238	2.265	9	22247424	success
['RFF', 'M', 'C', 'RFF', 'SFF']	0.002238	2.265	9	22247424	success
['SFF', 'C', 'RFF', 'M', 'RFF']	0.002237	2.265	9	22247424	success
['RFF', 'M', 'C', 'RFF', 'RFF']	0.002237	2.265	9	22247424	success
['SFF', 'C', 'SFF', 'SFF', 'M']	0.002237	2.265	9	22247424	success
['SFF', 'RFF', 'C', 'SFF', 'M']	0.002237	2.265	9	22247424	success
['I', 'RFF', 'RFF', 'M', 'SFF']	0.002237	2.059	10	22449152	success
['C', 'M', 'SFF', 'M', 'C']	0.002237	1.902	11	22792448	success
['RFF', 'SFF', 'M', 'SFF', 'C']	0.002237	2.265	9	22247424	success
['I', 'M', 'RFF', 'RFF', 'SFF']	0.002237	2.059	10	22449152	success
['C', 'SFF', 'RFF', 'M', 'RFF']	0.002237	2.265	9	22247424	success
['RFF', 'RFF', 'M', 'C', 'RFF']	0.002237	2.265	9	22247424	success
['RFF', 'SFF', 'M', 'C', 'SFF']	0.002237	2.265	9	22247424	success
['SFF', 'C', 'M', 'RFF', 'RFF']	0.002236	2.265	9	22247424	success
['M', 'C', 'RFF', 'RFF', 'RFF']	0.002236	2.265	9	22247424	success
['RFF', 'M', 'RFF', 'C', 'SFF']	0.002236	2.265	9	22247424	success
['C', 'RFF', 'RFF', 'RFF', 'M']	0.002236	2.265	9	22247424	success
['M', 'SFF', 'C', 'C', 'M']	0.002236	1.902	11	22792448	success
['C', 'M', 'RFF', 'SFF', 'RFF']	0.002236	2.265	9	22247424	success
['C', 'RFF', 'M', 'RFF', 'RFF']	0.002235	2.265	9	22247424	success
